Time(ms),Main(mA),Main Voltage(V),
114.29803991317748,269.79756420197964,4.1850000000000005,
114.29828572273254,269.30675546229986,4.18,
114.29843997955322,267.7116270583406,4.1835,
114.2986409664154,266.97541394882086,4.1815,
114.29883813858032,265.3802855448616,4.182,
114.2990379333496,268.44784016786025,4.18375,
114.29928612709044,275.5645668932172,4.18725,
114.29942083358765,267.95703142818047,4.18475,
114.2996199131012,266.11649865438125,4.1835,
114.29982089996338,267.4662226885007,4.1845,
114.30005407333374,265.7483920996214,4.1845,
114.30030083656312,269.30675546229986,4.1850000000000005,
114.30045175552368,269.4294576472198,4.18225,
114.3006420135498,267.09811613374086,4.183,
114.300852060318,269.92026638689964,4.1815,
114.30104875564577,272.37431008529853,4.184,
114.3012969493866,284.3991242074534,4.187,
114.30144786834715,270.77918168133925,4.184,
114.3016448020935,268.20243579802036,4.1825,
114.30184197425842,268.0797336131004,4.187,
114.30232977867126,268.20243579802036,4.1815,
114.3025119304657,267.4662226885007,4.1865,
114.3025119304657,267.09811613374086,4.18375,
114.30265402793884,267.4662226885007,4.18625,
114.30284810066225,266.607307394061,4.183,
114.3030490875244,280.8407608447749,4.1825,
114.30328297615053,286.9758700907723,4.1857500000000005,
114.3034360408783,265.5029877297815,4.1835,
114.30361986160278,263.78515714090224,4.1855,
114.30382180213928,264.6440724353419,4.18275,
114.30403685569765,267.34352050358075,4.18175,
114.30428695678712,267.2208183186608,4.1845,
114.30443501472472,245.9933403275099,4.18225,
114.30463910102844,245.37982940291016,4.1835,
114.3048369884491,257.77275007982485,4.1857500000000005,
114.30504202842712,300.96391917164624,4.181,
114.30528688430786,323.41841901199655,4.1805,
114.30544686317444,303.90877160972497,4.1815,
114.30564880371094,320.84167312867766,4.18175,
114.30583000183104,296.4239383296082,4.186,
114.3060338497162,270.53377731149936,4.18275,
114.30628776550292,267.2208183186608,4.1855,
114.30647611618042,266.11649865438125,4.18225,
114.30663776397704,267.58892487342064,4.1825,
114.30682396888731,268.69324453770014,4.187,
114.30703806877136,277.2823974820964,4.18525,
114.30728507041933,268.8159467226201,4.1842500000000005,
114.30743598937988,268.20243579802036,4.18375,
114.30764389038086,267.09811613374086,4.184,
114.30785393714903,262.3127309218629,4.18475,
114.30804681777954,260.8403047028235,4.184,
114.30828380584715,263.0489440313826,4.186,
114.30845093727112,261.0857090726634,4.18625,
114.30864214897156,261.82192218218313,4.1845,
114.30884575843812,261.57651781234324,4.1845,
114.30904197692873,274.70565159877754,4.1855,
114.30928587913512,272.37431008529853,4.1835,
114.30943489074708,262.19002873694296,4.18275,
114.30964303016664,260.7176025179036,4.1855,
114.30986285209656,261.6992199972632,4.186,
114.31005382537842,259.4905806687041,4.1842500000000005,
114.31029987335204,272.37431008529853,4.181,
114.31046891212463,274.5829494138576,4.18225,
114.31065392494202,335.5659353190713,4.18125,
114.31088280677795,282.1904848788943,4.1825,
